,listing_id,id,date,reviewer_id,comments
30631,1058590,24861006,2015-01-03,10425276,3.7
30632,1058590,27445728,2015-03-04,22950329,4.0
30633,1058590,28107545,2015-03-17,29013045,3.8
30634,1058590,29062148,2015-04-03,6930011,3.9
30635,1058590,29745381,2015-04-12,6442004,3.0
30636,1058590,29901859,2015-04-13,9800962,3.0
30637,1058590,30472508,2015-04-22,770729,3.4
30638,1058590,31575422,2015-05-07,28550651,3.0
30639,1058590,31963393,2015-05-12,7325973,4.0
30640,1058590,32102505,2015-05-14,12135824,3.9
30641,1058590,32499893,2015-05-19,16456972,3.8
30642,1058590,33247504,2015-05-26,13373998,3.9
30643,1058590,33498845,2015-05-29,26117075,3.7
30644,1058590,33691810,2015-05-31,21923047,4.0
30645,1058590,34619817,2015-06-10,2573274,3.9
30646,1058590,34856157,2015-06-13,30554946,4.2
30647,1058590,35198495,2015-06-16,12883949,3.5
30648,1058590,36016300,2015-06-24,754146,3.5
30649,1058590,36384884,2015-06-28,30523539,3.5
30650,1058590,36702595,2015-06-30,31932901,3.6
30651,1058590,37087982,2015-07-04,35916558,4.3
30652,1058590,37891968,2015-07-11,31107952,3.4
30653,717842,31732345,2015-05-09,20812514,3.7
30654,717842,36129009,2015-06-25,12917313,3.7
30655,717842,36613704,2015-06-29,36334345,3.5
30656,717842,37052407,2015-07-04,6802438,3.6
30657,5627348,28373303,2015-03-22,29696259,3.8
30658,5627348,28507926,2015-03-24,21911692,4.0
30659,5627348,29343071,2015-04-06,29446412,3.0
30660,5627348,29461017,2015-04-07,29446412,3.0
30661,5627348,29631108,2015-04-10,3535540,3.8
30662,5627348,29994407,2015-04-15,15931500,4.1
30663,5627348,30628347,2015-04-25,30541232,3.6
30664,5627348,31020864,2015-04-30,25858398,4.0
30665,5627348,31472064,2015-05-05,823918,3.9
30666,5627348,33446314,2015-05-28,31402257,3.0
30667,5627348,33555805,2015-05-29,15364320,3.9
30668,5627348,33699874,2015-05-31,31314892,3.3
30669,5627348,34636561,2015-06-10,31281665,4.0
30670,5627348,34758649,2015-06-11,33448438,3.4
30671,5627348,34806354,2015-06-12,32127486,4.4
30672,5627348,35223745,2015-06-16,32622195,3.6
30673,5627348,35390007,2015-06-18,7167521,3.4
30674,5627348,35715701,2015-06-21,6351172,3.3
30675,5627348,36394596,2015-06-28,9753378,3.6
30676,5627348,36881743,2015-07-02,18970486,3.7
30677,5627348,37070957,2015-07-04,28621767,4.1
30678,5627348,37321221,2015-07-06,19120962,3.7
30679,5627348,37751823,2015-07-10,28065617,3.0
30680,5627348,38031567,2015-07-12,36811800,3.4
30681,5627348,38152757,2015-07-13,35424042,3.2
30682,5627348,38525280,2015-07-16,35715716,3.0
30683,6096622,33324369,2015-05-26,15901027,3.7
30684,6096622,33616149,2015-05-30,32608937,3.6
30685,6096622,34093490,2015-06-04,22525312,4.0
30686,6096622,34479539,2015-06-08,33987386,3.3
30687,6096622,34680547,2015-06-10,3079076,3.5
30688,6096622,35238479,2015-06-16,33231717,3.7
30689,6096622,35430233,2015-06-18,28368453,3.3
30690,6096622,35685574,2015-06-21,29417493,3.0
30691,6096622,35858088,2015-06-22,652377,3.9
30692,6096622,36146469,2015-06-25,5321648,3.9
30693,6096622,36436235,2015-06-28,12743088,3.5
30694,6096622,37219213,2015-07-05,7155870,3.9
30695,6096622,38152167,2015-07-13,2152022,3.5
30696,4712838,26632216,2015-02-16,27027087,3.0
30697,4712838,30812162,2015-04-27,28955053,3.5
30698,4712838,31264366,2015-05-03,21404955,3.0
30699,4712838,34484137,2015-06-08,19413553,4.8
30700,4712838,35121455,2015-06-15,33766014,3.9
30701,2972523,14761456,2014-06-25,5322622,3.8
30702,2972523,15801479,2014-07-15,11030535,3.9
30703,2972523,16321684,2014-07-25,81728,4.5
30704,2972523,16620897,2014-07-30,1534908,3.9
30705,2972523,18321356,2014-08-25,2435822,4.4
30706,2972523,19207830,2014-09-08,310741,3.8
30707,2972523,19480583,2014-09-13,11331334,3.9
30708,2972523,19647570,2014-09-15,2597543,3.0
30709,2972523,19840552,2014-09-19,10312601,3.7
30710,2972523,29776291,2015-04-12,3254198,3.6
30711,2972523,30157744,2015-04-18,21134395,3.0
30712,2972523,34712771,2015-06-11,4018499,3.4
30713,2972523,35047229,2015-06-14,23033487,3.7
30714,2972523,35155578,2015-06-15,9536186,4.2
30715,2972523,35555655,2015-06-20,19450585,3.6
30716,2972523,35683946,2015-06-21,28700235,3.0
30717,2972523,36014642,2015-06-24,1508978,3.8
30718,2972523,36174468,2015-06-26,23398726,4.0
30719,2972523,36482764,2015-06-28,12149180,4.2
30720,2972523,36685646,2015-06-30,5674313,4.0
30721,2972523,36926421,2015-07-02,9790562,3.8
30722,2972523,36954606,2015-07-03,8681072,3.9
30723,2972523,37462995,2015-07-07,32509571,4.4
30724,2972523,37563005,2015-07-08,31964142,4.4
30725,2972523,37989101,2015-07-12,23206904,4.0
30726,2972523,38402376,2015-07-15,14095639,3.1
30727,7066793,37425583,2015-07-06,2735898,3.6
30728,6407439,36401823,2015-06-28,11257462,3.5
30729,5448794,27977134,2015-03-15,13103459,3.8
30730,5448794,28433746,2015-03-23,17934431,3.5
30731,5448794,28616230,2015-03-27,409744,3.2
30732,5448794,29834632,2015-04-13,27797463,3.7
30733,5448794,30087870,2015-04-17,25291054,3.8
30734,5448794,30911666,2015-04-28,5150359,3.4
30735,5448794,31319351,2015-05-04,19656977,3.8
30736,5448794,31812963,2015-05-10,5349331,3.0
30737,5448794,32166557,2015-05-15,22829380,3.7
30738,5448794,32570268,2015-05-19,2249073,3.6
30739,5448794,32920774,2015-05-23,32757587,3.7
30740,5448794,33360903,2015-05-27,26099852,4.4
30741,5448794,33909208,2015-06-02,29134825,3.5
30742,5448794,34951902,2015-06-14,30377330,3.8
30743,5448794,35351611,2015-06-17,26340843,4.3
30744,5448794,35796362,2015-06-22,14512313,4.2
30745,5448794,36115846,2015-06-25,26312899,4.1
